uid,uniname,pname1_sumfiles,pname2_sumfiles,pname1_sumevery,pname2_sumevery
1,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates"
2,"Alliance Resource Partners, USA","Alliance Resource Partners, USA","Alliance Resource Partners, USA","Alliance, USA","Alliance, USA"
3,"Anadarko, USA","Anadarko, USA","Anadarko, USA","Anadarko, USA","Anadarko, USA"
4,"Anglo American, UK","Anglo American, UK","Anglo American, UK","Anglo American, UK","Anglo American, UK"
5,"Antero, USA","Antero, USA","Antero, USA","Antero, USA","Antero, USA"
6,"Apache, USA","Apache, USA","Apache, USA","Apache, USA","Apache, USA"
7,"Arch Coal Company, USA","Arch Coal Company, USA","Arch Coal Company, USA","Arch Coal, USA","Arch Coal, USA"
8,Bahrain Petroleum Corporation,Bahrain Petroleum Corporation,Bahrain Petroleum Corporation,Bahrain Petroleum Corp.,Bahrain Petroleum Corp.
9,"BHP Billiton, Australia","BHP Billiton, Australia","BHP Billiton, Australia","BHP Billiton, Australia","BHP, Australia"
10,"BP, UK","BP, UK","BP, UK","BP, UK","BP, UK"
11,"British Coal Corporation, UK","British Coal Corporation, UK","British Coal Corporation, UK","British Coal Corp., UK","British Coal Corp., UK"
12,"Canadian Natural Resources, Canada","Canadian Natural Resources, Canada","Canadian Natural Resources, Canada","Canadian Natural Resources, Canada","Canadian Natural Resources, Canada"
13,"Cemex, Mexico","Cemex, Mexico","Cemex, Mexico","Cemex, Mexico","Cemex, Mexico"
14,"Chesapeake Energy, USA","Chesapeake, USA","Chesapeake, USA","Chesapeake Energy, USA","Chesapeake Energy, USA"
15,"Chevron, USA","Chevron, USA","Chevron, USA","Chevron, USA","Chevron, USA"
16,"China, Peoples Rep. (coal & cement)","China, PR (coal & cement only)","China, PR (coal & cement only)","China, Peoples Rep. (coal & cement)","China, Peoples Rep. (coal & cement)"
17,"Cloud Peak, USA","Cloud Peak, USA","Cloud Peak, USA",Cloud Peak,Cloud Peak
18,CNOOC (China National Offshore Oil Co.; acq Nexen Jan2013),"CNOOC, PR China (acq Nexen Jan2013)","CNOOC, PR China (acq Nexen Jan2013)",CNOOC (China National Offshore Oil Co.),CNOOC (China National Offshore Oil Co.)
19,"Coal India, India","Coal India, India","Coal India, India","Coal India, India","Coal India, India"
20,"ConocoPhillips, USA","ConocoPhillips, USA","ConocoPhillips, USA","ConocoPhillips, USA","ConocoPhillips, USA"
21,"CONSOL Energy, USA","CONSOL Energy, USA","CONSOL Energy, USA","CONSOL Energy, USA","CONSOL Energy, USA"
22,"Contura (AlphaNR, Massey), USA","Contura (AlphaNR, Massey), USA","Contura (AlphaNR, Massey), USA","Contura Energy / ANR, USA","Contura Energy / ANR, USA"
23,"Cyprus Amax, USA","Cyprus Amax, USA","Cyprus Amax, USA","Cyprus Amax, USA","Cyprus Amax, USA"
24,Czech Republic (coal),Czech Republic,Czech Republic,Czech Republic (coal),Czech Republic (coal)
25,Czechoslovakia (coal),Czechoslovakia,Czechoslovakia,Czechoslovakia (coal),Czechoslovakia (coal)
